"","","","","","","",""
"","Hrs per year","Per month","Converted to Mins ","","","","TOTAL "
"FTE ","1920","160","9600","","","","30.422535211268"
"Leave","120","10","600","","","",""
"room absensces ","96","8","480","","","",""
"Total","1704","142","8520","Mins / Month","","",""
"","","","","","","",""
"","","","","","","",""
"Subject ","","12","720","","","",""
"Planning / Admin ","","20","1200","","","",""
"Meeting ","","4","240","","","",""
"Extra Activities","","1","60","","","",""
"","","","2220","","","",""
"","","","","","","",""
"","","","7020","","","",""
"","","","1500","","","",""
"","","","2.0833333333333","","","",""
